질문,분류,답변
회원정보,이메일 수정했는데 자꾸 예전 주소로 이메일이 옵니다.,"현재 회원님의 이메일 주소는 기재해 주신 이메일 주소로 정상 변경되어 있으나, 회원님께서 정보를 변경하시기 전에 예약 발송 처리된 정보 메일이 이전 이메일 주소로 발송될 수 있습니다. 이로 인해 변경 후 약 2~3주 정도는 이전 이메일 주소에서 메일을 수신할 수 있으니, 이점 회원님의 너그러운 양해 부탁 드립니다."
회원정보,회원정보 수정은 어떻게 하나요?,"회원정보는 기본정보와 차량정보로 구성되어 있습니다. 기본정보로는 이메일, (휴대)전화번호, 수신동의 등이 있으며, 기본정보 수정을 원하시는 회원께서는 마이페이지의 개인정보 수정을 클릭하시면 변경하실 수 있습니다. 회원정보 중 회원님께서 직접 수정하실 수 없는 항목은 이름, 아이디입니다. 이 2가지 항목 중 아이디 수정을 원하시는 회원께서는 회원탈퇴 후 재가입을 통해 변경하실 수 있습니다.차량정보 수정을 원하시는 회원께서는 마이페이지의 내차정보 수정을 클릭하시면 변경하실 수 있습니다. 스피드메이트 사업장에서 고객 및 차량등록을 한 경우에 등록된 차량을 확인하고 등록할 수 있습니다."
가입/탈퇴,로그인 아이디를 분실했어요.,"아이디를 분실하신 경우 로그인 페이지 상의 ""아이디 찾기"" 버튼을 클릭하시면 휴대폰, 아이핀 인증을 통한 본인확인을 통해 아이디를 확인하실 수 있습니다."
가입/탈퇴,패스워드를 잊어버렸습니다.,"패스워드를 분실하신 경우 로그인 페이지 상의 패스워드 찾기 버튼을 클릭하시면 2가지 방법을 통해 확인하실 수 있습니다. 휴대폰, 아이핀 인증을 통한 본인 확인 후 회원가입시 입력하신 정보가 일치하면 이메일 주소로 임시 패스워드를 발급해드리며본인 확인절차를 거치신 후 패스워드를 직접 변경하실 수 있습니다."
가입/탈퇴,가입 시 이름과 주민등록번호가 일치하지 않는다고 합니다.,"Speedmate 통합사이트는 speedmate.com, speedmaterentacar.com, happyautomembers.com 의 사이트를 통합된 하나의 계정(ID 및 비밀번호)을 이용하여 서비스를 제공받으실 수 있으므로 위 사이트에 이미 가입한 상태라면 별도의 회원 가입 절차 없이 동일한 아이디와 패스워드로 사용(로그인)이 가능합니다. 그러나 통합사이트에 가입한 적이 없고 본인이 실명(또는 아이핀 인증)임에도 불구하고 일치하지 않는다고 나타나는 경우는 실명확인 서비스를 제공하는 신용평가업체에 회원님의 주민번호 정보 또는 성명정보가 잘못 등록되어 있을 가능성이 높습니다. 따라서, 서울신용평가정보에서 실명으로 등록내용을 확인, 수정할 수 있습니다. 수정방법은 신분증(주민등록증)을 서울신용평가정보㈜의 SIREN24고객지원센터 (Fax : 02-3449-1678)로 보내주시면 정보를 수정하여 정상적으로 서비스 이용이 가능합니다."
가입/탈퇴,"가입하려고 했는데 ""이미 등록된 회원의 주민등록번호와 중복됩니다.""라는 메시지가 뜹니다.","홈페이지 회원가입의 경우, 당사에서 임의로 가입해 드리는 것이 아니며, 외부에서 직접 홈페이지로 접속하셔서 약관 동의 후에 가입이 이루어지는 부분이기에 어느 분께서 가입을 하셨는지 자세한 사항은 당사에서도 확인이 어렵습니다. 본인이 가입한 내역이 없으나, 등록된 상태로 확인이 된다면 당사 고객센터(1600-1600)로 문의하신 후 홈페이지 가입 방법을 안내 받으시기 바랍니다."
가입/탈퇴,홈페이지 탈퇴 후 다시 가입을 하고 싶어요.,탈퇴 후 즉시 재가입이 가능합니다. 아이디를 변경할 경우에도 탈퇴 후 재가입을 통해 변경하실 수 있습니다.
가입/탈퇴,서비스 탈퇴는 어떻게 하나요?,"Speedmate 통합사이트(speedmate.com, speedmaterentacar.com, happyautomembers.com)만 탈퇴하시거나 Speedmate 회원 탈퇴를 요청하실 경우 해당 사이트에서 제공되는 모든 서비스는 이용하실 수 없습니다. 서비스 탈퇴를 원하시는 고객께서는 고객센터(1600-1600)로 전화를 주세요."
가입/탈퇴,회원 가입은 어떻게 하나요?,"회원가입 방법은 Speedmate 통합사이트(speedmate.com, speedmaterentacar.com, happyautomembers.com) 홈페이지 메인화면 우측 상단 로그인 옆 회원가입(바로가기) 메뉴를 통해서 가입하실 수 있습니다. 약관동의 및 본인확인(휴대폰인증/아이핀인증) 후 가입이 가능합니다. Speedmate 통합사이트는 차량 관련 포탈 사이트로 모든 고객이 가입할 수 있는 사이트이며, 회원가입은 무료입니다. 하나의 계정(ID 및 비밀번호)을 이용하여 Speedmate 통합사이트 서비스를 제공받으실 수 있습니다. 매장을 이용한 적이 없는 고객도 온라인 회원가입이 가능하며, 정비 예약을 통하여 매장을 방문하실 수도 있습니다. 그 외 차량 관리와 관련한 유용한 정보도 email을 통하여 보내 드리고 있습니다. 매장을 이용하신 회원께서는 Speedmate.com을 통하여, 정비실적과 예방정비 등을 제공받으실 수 있습니다."
OK캐쉬백,스피드메이트에서 Cashbag Point 사용도 가능한가요?,"물론입니다. Speedmate에서도 Cashbag Point가 현금처럼 사용 가능하므로 엔진 오일, 부동액 등을 교환 시 Cashbag Point로 결제하시면 유용하게 이용하실 수 있습니다."
